,HAX,HAY,PW1X,PW1Y,PW2X,PW2Y,WWX,WWY,BOLX,BOLY,GDALX,GDALY,GSURFX,GSURFY,H2OX,H2OY,sun,mon,tue,wed,thu,fri,sat,Company,distance_dsH2OE,distance_dsGSF,distance_dsP1,distance_dsGD,distance_BOL,distance_dsWW,distance_dsP2,distance_GroundSurf,distance_H2OE,distance_PWl,distance_PW2,distance_GDAL,distance_BOLE,distance_WW
31,30,40,250,155,125,76,58,229,123,78,221,181,466,181,318,40,58,2,40,2,50,63,58,Bowles W&S,82944,332929,112225,110224,17161,2217373921,17161,577.0,288.0,335.0,131.0,332.0,131.0,217.0
32,30,50,250,155,125,76,58,229,123,78,221,181,466,181,318,40,35,5,11,5,13,1,76,Bowles W&S,77284,321489,105625,103684,14641,1836036801,14641,567.0,278.0,325.0,121.0,322.0,121.0,207.0
33,30,60,250,155,125,76,58,229,123,78,221,181,466,181,318,40,64,0,30,27,45,77,49,Ground Surf,71824,310249,99225,97344,12321,1506138481,12321,557.0,268.0,315.0,111.0,312.0,111.0,197.0
34,30,70,250,155,125,76,58,229,123,78,221,181,466,181,318,40,76,3,38,14,24,75,31,H2O Engine,66564,299209,93025,91204,10201,1222830961,10201,547.0,258.0,305.0,101.0,302.0,101.0,187.0
35,30,80,250,155,125,76,58,229,123,78,221,181,466,181,318,40,57,7,6,56,42,88,52,Water Works II,61504,288369,87025,85264,8281,981506241,8281,537.0,248.0,295.0,91.0,292.0,91.0,177.0
36,30,90,250,155,125,76,58,229,123,78,221,181,466,181,318,40,40,35,50,54,24,0,17,Ground Surf,56644,277729,81225,79524,6561,777796321,6561,527.0,238.0,285.0,81.0,282.0,81.0,167.0
37,30,100,250,155,125,76,58,229,123,78,221,181,466,181,318,40,40,46,43,31,58,28,38,Glendale Wells,51984,267289,75625,73984,5041,607573201,5041,517.0,228.0,275.0,71.0,272.0,71.0,157.0
38,30,110,250,155,125,76,58,229,123,78,221,181,466,181,318,40,61,17,17,31,33,44,59,Ground Surf,47524,257049,70225,68644,3721,466948881,3721,507.0,218.0,265.0,61.0,262.0,61.0,147.0
39,30,120,250,155,125,76,58,229,123,78,221,181,466,181,318,40,66,65,31,24,75,45,21,H2O Engine,43264,247009,65025,63504,2601,352275361,2601,497.0,208.0,255.0,51.0,252.0,51.0,137.0
40,30,130,250,155,125,76,58,229,123,78,221,181,466,181,318,40,2,22,17,59,55,84,13,Bowles W&S,39204,237169,60025,58564,1681,260144641,1681,487.0,198.0,245.0,41.0,242.0,41.0,127.0
41,30,140,250,155,125,76,58,229,123,78,221,181,466,181,318,40,39,64,48,34,43,65,12,Bowles W&S,35344,227529,55225,53824,961,187388721,961,477.0,188.0,235.0,31.0,232.0,31.0,117.0
42,30,150,250,155,125,76,58,229,123,78,221,181,466,181,318,40,21,66,49,39,49,55,89,Bowles W&S,31684,218089,50625,49284,441,131079601,441,467.0,178.0,225.0,21.0,222.0,21.0,107.0
43,30,160,250,155,125,76,58,229,123,78,221,181,466,181,318,40,35,41,37,41,28,5,71,Ground Surf,28224,208849,46225,44944,121,88529281,121,457.0,168.0,215.0,11.0,212.0,11.0,97.0
44,30,170,250,155,125,76,58,229,123,78,221,181,466,181,318,40,62,22,1,38,29,35,29,Public Well 1,24964,199809,42025,40804,1,57289761,1,447.0,158.0,205.0,1.0,202.0,1.0,87.0
45,30,180,250,155,125,76,58,229,123,78,221,181,466,181,318,40,40,69,31,49,75,35,53,Bowles W&S,21904,190969,38025,36864,81,35153041,81,437.0,148.0,195.0,9.0,192.0,9.0,77.0
46,30,190,250,155,125,76,58,229,123,78,221,181,466,181,318,40,66,41,40,47,5,38,35,Public Well 2,19044,182329,34225,33124,361,20151121,361,427.0,138.0,185.0,19.0,182.0,19.0,67.0
47,30,200,250,155,125,76,58,229,123,78,221,181,466,181,318,40,4,17,16,25,34,90,90,Public Well 2,16384,173889,30625,29584,841,10556001,841,417.0,128.0,175.0,29.0,172.0,29.0,57.0
48,30,210,250,155,125,76,58,229,123,78,221,181,466,181,318,40,58,18,57,59,25,8,63,Ground Surf,13924,165649,27225,26244,1521,4879681,1521,407.0,118.0,165.0,39.0,162.0,39.0,47.0
49,30,220,250,155,125,76,58,229,123,78,221,181,466,181,318,40,56,24,13,0,34,69,35,Public Well 2,11664,157609,24025,23104,2401,1874161,2401,397.0,108.0,155.0,49.0,152.0,49.0,37.0
50,30,230,250,155,125,76,58,229,123,78,221,181,466,181,318,40,46,13,60,13,71,30,81,Water Works II,9604,149769,21025,20164,3481,531441,3481,387.0,98.0,145.0,59.0,142.0,59.0,27.0
51,30,240,250,155,125,76,58,229,123,78,221,181,466,181,318,40,71,39,22,21,3,63,49,Public Well 2,7744,142129,18225,17424,4761,83521,4761,377.0,88.0,135.0,69.0,132.0,69.0,17.0
52,30,250,250,155,125,76,58,229,123,78,221,181,466,181,318,40,73,2,38,35,71,38,4,Public Well 1,6084,134689,15625,14884,6241,2401,6241,367.0,78.0,125.0,79.0,122.0,79.0,7.0
53,30,260,250,155,125,76,58,229,123,78,221,181,466,181,318,40,27,44,20,25,64,49,81,Ground Surf,4624,127449,13225,12544,7921,81,7921,357.0,68.0,115.0,89.0,112.0,89.0,3.0
54,30,270,250,155,125,76,58,229,123,78,221,181,466,181,318,40,34,69,9,39,17,44,28,H2O Engine,3364,120409,11025,10404,9801,28561,9801,347.0,58.0,105.0,99.0,102.0,99.0,13.0
55,30,280,250,155,125,76,58,229,123,78,221,181,466,181,318,40,12,13,33,10,43,88,76,Ground Surf,2304,113569,9025,8464,11881,279841,11881,337.0,48.0,95.0,109.0,92.0,109.0,23.0
56,30,290,250,155,125,76,58,229,123,78,221,181,466,181,318,40,75,44,9,61,43,9,77,Water Works II,1444,106929,7225,6724,14161,1185921,14161,327.0,38.0,85.0,119.0,82.0,119.0,33.0
57,30,300,250,155,125,76,58,229,123,78,221,181,466,181,318,40,53,65,45,29,2,20,27,Public Well 2,784,100489,5625,5184,16641,3418801,16641,317.0,28.0,75.0,129.0,72.0,129.0,43.0
58,40,20,250,155,125,76,58,229,123,78,221,181,466,181,318,40,27,13,1,42,60,50,21,Bowles W&S,88804,344569,119025,116964,19881,2655237841,19881,587.0,298.0,345.0,141.0,342.0,141.0,227.0
59,40,30,250,155,125,76,58,229,123,78,221,181,466,181,318,40,16,41,18,5,18,59,40,Water Works II,82944,332929,112225,110224,17161,2217373921,17161,577.0,288.0,335.0,131.0,332.0,131.0,217.0
60,40,40,250,155,125,76,58,229,123,78,221,181,466,181,318,40,31,27,55,66,28,69,98,H2O Engine,77284,321489,105625,103684,14641,1836036801,14641,567.0,278.0,325.0,121.0,322.0,121.0,207.0
61,40,50,250,155,125,76,58,229,123,78,221,181,466,181,318,40,15,14,23,31,64,49,76,Public Well 2,71824,310249,99225,97344,12321,1506138481,12321,557.0,268.0,315.0,111.0,312.0,111.0,197.0
62,40,60,250,155,125,76,58,229,123,78,221,181,466,181,318,40,9,52,13,49,62,28,53,Water Works II,66564,299209,93025,91204,10201,1222830961,10201,547.0,258.0,305.0,101.0,302.0,101.0,187.0
63,40,70,250,155,125,76,58,229,123,78,221,181,466,181,318,40,62,30,8,17,36,24,78,Bowles W&S,61504,288369,87025,85264,8281,981506241,8281,537.0,248.0,295.0,91.0,292.0,91.0,177.0
64,40,80,250,155,125,76,58,229,123,78,221,181,466,181,318,40,18,44,41,2,2,44,34,Ground Surf,56644,277729,81225,79524,6561,777796321,6561,527.0,238.0,285.0,81.0,282.0,81.0,167.0
65,40,90,250,155,125,76,58,229,123,78,221,181,466,181,318,40,62,32,37,33,61,19,22,Glendale Wells,51984,267289,75625,73984,5041,607573201,5041,517.0,228.0,275.0,71.0,272.0,71.0,157.0
66,40,100,250,155,125,76,58,229,123,78,221,181,466,181,318,40,23,9,39,48,50,70,9,Water Works II,47524,257049,70225,68644,3721,466948881,3721,507.0,218.0,265.0,61.0,262.0,61.0,147.0
67,40,110,250,155,125,76,58,229,123,78,221,181,466,181,318,40,68,18,58,60,12,25,26,H2O Engine,43264,247009,65025,63504,2601,352275361,2601,497.0,208.0,255.0,51.0,252.0,51.0,137.0
68,40,120,250,155,125,76,58,229,123,78,221,181,466,181,318,40,57,45,30,68,68,49,24,Public Well 2,39204,237169,60025,58564,1681,260144641,1681,487.0,198.0,245.0,41.0,242.0,41.0,127.0
69,40,130,250,155,125,76,58,229,123,78,221,181,466,181,318,40,77,26,5,21,31,67,32,Glendale Wells,35344,227529,55225,53824,961,187388721,961,477.0,188.0,235.0,31.0,232.0,31.0,117.0
70,40,140,250,155,125,76,58,229,123,78,221,181,466,181,318,40,58,41,38,53,0,14,75,Water Works II,31684,218089,50625,49284,441,131079601,441,467.0,178.0,225.0,21.0,222.0,21.0,107.0
71,40,150,250,155,125,76,58,229,123,78,221,181,466,181,318,40,77,27,14,5,77,15,54,Public Well 2,28224,208849,46225,44944,121,88529281,121,457.0,168.0,215.0,11.0,212.0,11.0,97.0
72,40,160,250,155,125,76,58,229,123,78,221,181,466,181,318,40,27,25,22,52,9,1,10,Water Works II,24964,199809,42025,40804,1,57289761,1,447.0,158.0,205.0,1.0,202.0,1.0,87.0
73,40,170,250,155,125,76,58,229,123,78,221,181,466,181,318,40,61,67,33,14,78,47,8,Public Well 1,21904,190969,38025,36864,81,35153041,81,437.0,148.0,195.0,9.0,192.0,9.0,77.0
74,40,180,250,155,125,76,58,229,123,78,221,181,466,181,318,40,81,70,25,24,55,74,100,Public Well 1,19044,182329,34225,33124,361,20151121,361,427.0,138.0,185.0,19.0,182.0,19.0,67.0
75,40,190,250,155,125,76,58,229,123,78,221,181,466,181,318,40,75,70,48,23,71,88,81,Glendale Wells,16384,173889,30625,29584,841,10556001,841,417.0,128.0,175.0,29.0,172.0,29.0,57.0
76,40,200,250,155,125,76,58,229,123,78,221,181,466,181,318,40,16,42,14,9,25,22,64,Glendale Wells,13924,165649,27225,26244,1521,4879681,1521,407.0,118.0,165.0,39.0,162.0,39.0,47.0
77,40,210,250,155,125,76,58,229,123,78,221,181,466,181,318,40,7,0,38,32,68,36,0,Glendale Wells,11664,157609,24025,23104,2401,1874161,2401,397.0,108.0,155.0,49.0,152.0,49.0,37.0
78,40,220,250,155,125,76,58,229,123,78,221,181,466,181,318,40,48,15,4,37,48,86,32,Public Well 2,9604,149769,21025,20164,3481,531441,3481,387.0,98.0,145.0,59.0,142.0,59.0,27.0
79,40,230,250,155,125,76,58,229,123,78,221,181,466,181,318,40,10,11,15,19,18,49,22,Ground Surf,7744,142129,18225,17424,4761,83521,4761,377.0,88.0,135.0,69.0,132.0,69.0,17.0
80,40,240,250,155,125,76,58,229,123,78,221,181,466,181,318,40,27,32,45,6,47,8,80,Glendale Wells,6084,134689,15625,14884,6241,2401,6241,367.0,78.0,125.0,79.0,122.0,79.0,7.0
81,40,250,250,155,125,76,58,229,123,78,221,181,466,181,318,40,32,39,8,1,23,22,6,Public Well 2,4624,127449,13225,12544,7921,81,7921,357.0,68.0,115.0,89.0,112.0,89.0,3.0
82,40,260,250,155,125,76,58,229,123,78,221,181,466,181,318,40,34,32,25,57,27,2,47,Glendale Wells,3364,120409,11025,10404,9801,28561,9801,347.0,58.0,105.0,99.0,102.0,99.0,13.0
83,40,270,250,155,125,76,58,229,123,78,221,181,466,181,318,40,19,15,8,17,64,8,90,Public Well 2,2304,113569,9025,8464,11881,279841,11881,337.0,48.0,95.0,109.0,92.0,109.0,23.0
84,40,280,250,155,125,76,58,229,123,78,221,181,466,181,318,40,66,56,1,65,5,52,81,Ground Surf,1444,106929,7225,6724,14161,1185921,14161,327.0,38.0,85.0,119.0,82.0,119.0,33.0
85,40,290,250,155,125,76,58,229,123,78,221,181,466,181,318,40,52,48,43,59,71,32,58,Public Well 1,784,100489,5625,5184,16641,3418801,16641,317.0,28.0,75.0,129.0,72.0,129.0,43.0
86,40,300,250,155,125,76,58,229,123,78,221,181,466,181,318,40,40,14,55,44,5,8,34,Public Well 2,324,94249,4225,3844,19321,7890481,19321,307.0,18.0,65.0,139.0,62.0,139.0,53.0
87,50,20,250,155,125,76,58,229,123,78,221,181,466,181,318,40,74,56,49,46,6,45,39,Water Works II,82944,332929,112225,110224,17161,2217373921,17161,577.0,288.0,335.0,131.0,332.0,131.0,217.0
88,50,30,250,155,125,76,58,229,123,78,221,181,466,181,318,40,12,58,13,11,78,11,25,Public Well 2,77284,321489,105625,103684,14641,1836036801,14641,567.0,278.0,325.0,121.0,322.0,121.0,207.0
89,50,40,250,155,125,76,58,229,123,78,221,181,466,181,318,40,24,22,50,50,44,13,31,Ground Surf,71824,310249,99225,97344,12321,1506138481,12321,557.0,268.0,315.0,111.0,312.0,111.0,197.0
90,50,50,250,155,125,76,58,229,123,78,221,181,466,181,318,40,48,26,4,12,75,7,29,Public Well 2,66564,299209,93025,91204,10201,1222830961,10201,547.0,258.0,305.0,101.0,302.0,101.0,187.0
91,50,60,250,155,125,76,58,229,123,78,221,181,466,181,318,40,17,64,46,46,4,69,15,Ground Surf,61504,288369,87025,85264,8281,981506241,8281,537.0,248.0,295.0,91.0,292.0,91.0,177.0
92,50,70,250,155,125,76,58,229,123,78,221,181,466,181,318,40,30,30,39,22,4,76,14,Public Well 1,56644,277729,81225,79524,6561,777796321,6561,527.0,238.0,285.0,81.0,282.0,81.0,167.0
93,50,80,250,155,125,76,58,229,123,78,221,181,466,181,318,40,82,60,15,63,73,67,89,Public Well 1,51984,267289,75625,73984,5041,607573201,5041,517.0,228.0,275.0,71.0,272.0,71.0,157.0
94,50,90,250,155,125,76,58,229,123,78,221,181,466,181,318,40,41,31,55,41,50,58,38,Water Works II,47524,257049,70225,68644,3721,466948881,3721,507.0,218.0,265.0,61.0,262.0,61.0,147.0
95,50,100,250,155,125,76,58,229,123,78,221,181,466,181,318,40,53,40,42,15,60,20,87,Water Works II,43264,247009,65025,63504,2601,352275361,2601,497.0,208.0,255.0,51.0,252.0,51.0,137.0
96,50,110,250,155,125,76,58,229,123,78,221,181,466,181,318,40,21,36,12,38,3,80,68,Public Well 1,39204,237169,60025,58564,1681,260144641,1681,487.0,198.0,245.0,41.0,242.0,41.0,127.0
97,50,120,250,155,125,76,58,229,123,78,221,181,466,181,318,40,58,15,46,49,27,34,25,Bowles W&S,35344,227529,55225,53824,961,187388721,961,477.0,188.0,235.0,31.0,232.0,31.0,117.0
98,50,130,250,155,125,76,58,229,123,78,221,181,466,181,318,40,28,58,51,26,48,25,27,Public Well 2,31684,218089,50625,49284,441,131079601,441,467.0,178.0,225.0,21.0,222.0,21.0,107.0
99,50,140,250,155,125,76,58,229,123,78,221,181,466,181,318,40,18,6,51,12,61,78,17,Glendale Wells,28224,208849,46225,44944,121,88529281,121,457.0,168.0,215.0,11.0,212.0,11.0,97.0
100,50,150,250,155,125,76,58,229,123,78,221,181,466,181,318,40,53,27,49,33,21,86,4,Ground Surf,24964,199809,42025,40804,1,57289761,1,447.0,158.0,205.0,1.0,202.0,1.0,87.0
101,50,160,250,155,125,76,58,229,123,78,221,181,466,181,318,40,28,4,59,41,33,21,12,Water Works II,21904,190969,38025,36864,81,35153041,81,437.0,148.0,195.0,9.0,192.0,9.0,77.0
102,50,170,250,155,125,76,58,229,123,78,221,181,466,181,318,40,68,49,55,53,15,72,80,H2O Engine,19044,182329,34225,33124,361,20151121,361,427.0,138.0,185.0,19.0,182.0,19.0,67.0
103,50,180,250,155,125,76,58,229,123,78,221,181,466,181,318,40,57,45,17,67,72,54,84,H2O Engine,16384,173889,30625,29584,841,10556001,841,417.0,128.0,175.0,29.0,172.0,29.0,57.0
104,50,190,250,155,125,76,58,229,123,78,221,181,466,181,318,40,13,21,11,9,33,35,28,H2O Engine,13924,165649,27225,26244,1521,4879681,1521,407.0,118.0,165.0,39.0,162.0,39.0,47.0
105,50,200,250,155,125,76,58,229,123,78,221,181,466,181,318,40,60,54,10,59,61,34,52,H2O Engine,11664,157609,24025,23104,2401,1874161,2401,397.0,108.0,155.0,49.0,152.0,49.0,37.0
106,50,210,250,155,125,76,58,229,123,78,221,181,466,181,318,40,66,24,12,29,60,30,8,Water Works II,9604,149769,21025,20164,3481,531441,3481,387.0,98.0,145.0,59.0,142.0,59.0,27.0
107,50,220,250,155,125,76,58,229,123,78,221,181,466,181,318,40,39,7,18,47,46,33,43,Public Well 1,7744,142129,18225,17424,4761,83521,4761,377.0,88.0,135.0,69.0,132.0,69.0,17.0
108,50,230,250,155,125,76,58,229,123,78,221,181,466,181,318,40,47,64,35,30,2,78,2,Public Well 2,6084,134689,15625,14884,6241,2401,6241,367.0,78.0,125.0,79.0,122.0,79.0,7.0
109,50,240,250,155,125,76,58,229,123,78,221,181,466,181,318,40,11,52,53,29,0,60,30,H2O Engine,4624,127449,13225,12544,7921,81,7921,357.0,68.0,115.0,89.0,112.0,89.0,3.0
110,50,250,250,155,125,76,58,229,123,78,221,181,466,181,318,40,52,40,52,38,52,9,42,Glendale Wells,3364,120409,11025,10404,9801,28561,9801,347.0,58.0,105.0,99.0,102.0,99.0,13.0
111,50,260,250,155,125,76,58,229,123,78,221,181,466,181,318,40,64,16,0,57,7,78,73,Public Well 2,2304,113569,9025,8464,11881,279841,11881,337.0,48.0,95.0,109.0,92.0,109.0,23.0
112,50,270,250,155,125,76,58,229,123,78,221,181,466,181,318,40,80,3,47,70,61,59,93,Public Well 2,1444,106929,7225,6724,14161,1185921,14161,327.0,38.0,85.0,119.0,82.0,119.0,33.0
113,50,280,250,155,125,76,58,229,123,78,221,181,466,181,318,40,78,63,27,1,49,72,10,H2O Engine,784,100489,5625,5184,16641,3418801,16641,317.0,28.0,75.0,129.0,72.0,129.0,43.0
114,50,290,250,155,125,76,58,229,123,78,221,181,466,181,318,40,11,61,0,22,80,71,11,H2O Engine,324,94249,4225,3844,19321,7890481,19321,307.0,18.0,65.0,139.0,62.0,139.0,53.0
115,50,300,250,155,125,76,58,229,123,78,221,181,466,181,318,40,34,32,37,36,37,24,3,Public Well 2,64,88209,3025,2704,22201,15752961,22201,297.0,8.0,55.0,149.0,52.0,149.0,63.0
116,60,20,250,155,125,76,58,229,123,78,221,181,466,181,318,40,76,21,57,19,61,21,40,H2O Engine,77284,321489,105625,103684,14641,1836036801,14641,567.0,278.0,325.0,121.0,322.0,121.0,207.0
117,60,30,250,155,125,76,58,229,123,78,221,181,466,181,318,40,19,20,8,51,78,72,54,Bowles W&S,71824,310249,99225,97344,12321,1506138481,12321,557.0,268.0,315.0,111.0,312.0,111.0,197.0
118,60,40,250,155,125,76,58,229,123,78,221,181,466,181,318,40,38,37,37,70,17,61,39,Public Well 2,66564,299209,93025,91204,10201,1222830961,10201,547.0,258.0,305.0,101.0,302.0,101.0,187.0
119,60,50,250,155,125,76,58,229,123,78,221,181,466,181,318,40,68,57,16,38,11,84,25,Public Well 1,61504,288369,87025,85264,8281,981506241,8281,537.0,248.0,295.0,91.0,292.0,91.0,177.0
120,60,60,250,155,125,76,58,229,123,78,221,181,466,181,318,40,57,55,51,66,49,90,95,Ground Surf,56644,277729,81225,79524,6561,777796321,6561,527.0,238.0,285.0,81.0,282.0,81.0,167.0
121,60,70,250,155,125,76,58,229,123,78,221,181,466,181,318,40,6,21,17,20,51,79,22,Public Well 2,51984,267289,75625,73984,5041,607573201,5041,517.0,228.0,275.0,71.0,272.0,71.0,157.0
122,60,80,250,155,125,76,58,229,123,78,221,181,466,181,318,40,64,2,14,53,43,64,88,Water Works II,47524,257049,70225,68644,3721,466948881,3721,507.0,218.0,265.0,61.0,262.0,61.0,147.0
123,60,90,250,155,125,76,58,229,123,78,221,181,466,181,318,40,69,31,32,38,52,17,71,Ground Surf,43264,247009,65025,63504,2601,352275361,2601,497.0,208.0,255.0,51.0,252.0,51.0,137.0
124,60,100,250,155,125,76,58,229,123,78,221,181,466,181,318,40,23,2,11,60,56,1,36,Bowles W&S,39204,237169,60025,58564,1681,260144641,1681,487.0,198.0,245.0,41.0,242.0,41.0,127.0
125,60,110,250,155,125,76,58,229,123,78,221,181,466,181,318,40,79,17,25,66,23,32,4,Public Well 2,35344,227529,55225,53824,961,187388721,961,477.0,188.0,235.0,31.0,232.0,31.0,117.0
126,60,120,250,155,125,76,58,229,123,78,221,181,466,181,318,40,83,26,27,13,52,2,59,Water Works II,31684,218089,50625,49284,441,131079601,441,467.0,178.0,225.0,21.0,222.0,21.0,107.0
127,60,130,250,155,125,76,58,229,123,78,221,181,466,181,318,40,33,19,52,34,53,72,1,H2O Engine,28224,208849,46225,44944,121,88529281,121,457.0,168.0,215.0,11.0,212.0,11.0,97.0
128,60,140,250,155,125,76,58,229,123,78,221,181,466,181,318,40,69,48,45,50,28,8,27,H2O Engine,24964,199809,42025,40804,1,57289761,1,447.0,158.0,205.0,1.0,202.0,1.0,87.0
